qpp_metric,retrieval_method,n_queries,nugget_strict_vital_score_mean,nugget_strict_all_score_mean,nugget_vital_score_mean,nugget_all_score_mean,genonly_strict_vital_score_mean,genonly_strict_all_score_mean,genonly_vital_score_mean,genonly_all_score_mean,retrieval_ndcg@5_mean,retrieval_ndcg@10_mean,retrieval_recall@100_mean
clarity-score-k100,pyserini,56,0.2788473926866784,0.2361568609930783,0.3840131966248037,0.3327539766366612,0.3157182846914989,0.2571203854962424,0.4324422105672105,0.3683284068826279,0.2689878368597035,0.2685373523423364,0.1965411245629971
nqc-no-norm-k100,pyserini,56,0.3552723566116423,0.2803433569017105,0.4550871375648161,0.3806023271932991,0.3611059079809079,0.2971704119170671,0.4818635357697858,0.4019937157632038,0.33081138667053,0.3169507824365865,0.2195090268629949
nqc-norm-k100,pyserini,56,0.3157082748600605,0.2607416832669763,0.4076977957558315,0.3504811884421294,0.3334401461633604,0.2876682208891408,0.4422808961871461,0.3912734247790639,0.4068076137176475,0.3759086691775586,0.2536571062435579
pre_null,pyserini,0,,,,,,,,,,,
pre_ql,pyserini,56,0.3680051099693956,0.2983777209969989,0.4654224124090195,0.3939621000068534,0.3316721472971472,0.2866357682810579,0.4520011610413396,0.3927988497340416,0.3453139215095089,0.3334711115548196,0.2283067884185485
qsd_post_predicted_ndcg,pyserini,56,0.3220132546025403,0.2626289183474886,0.4166479477863406,0.3574111275214907,0.3108921336599908,0.2568275192238593,0.4185312703169846,0.358284936551605,0.3908769772899257,0.3683311918199504,0.2070366389957897
pre_qsdqpp_predicted_ndcg,pyserini,56,0.3329839059749774,0.2669224816352746,0.424526713365999,0.3542978207185831,0.3313776253508397,0.2771801795187465,0.4477970690024261,0.3803909650061103,0.3211860248247922,0.295524084059746,0.1989364067510697
pre_rv_bert,pyserini,56,0.226797408940266,0.1822933952135632,0.3203158448694163,0.2731021444125435,0.3194305198769484,0.2611220899996607,0.4320242133858205,0.3636988061081382,0.2854700127505495,0.2812579382090427,0.1776174242426148
pre_rv_e5,pyserini,56,0.226797408940266,0.1822933952135632,0.3203158448694163,0.2731021444125435,0.3194305198769484,0.2611220899996607,0.4320242133858205,0.3636988061081382,0.2854700127505495,0.2812579382090427,0.1776174242426148
sigma-max,pyserini,56,0.3534026984919842,0.2768032389314455,0.4543430899457685,0.3780346334491348,0.368363233988234,0.2977809125275678,0.4835871098147883,0.4048972409553319,0.3163966299048329,0.3046998689546969,0.2176510062012581
sigma-x0.5,pyserini,56,0.3521898736184451,0.2797300473833258,0.4541517634151563,0.3766425749311502,0.3426180961895247,0.2764508471772956,0.4649949133208061,0.3878331876165384,0.3334339710955901,0.3099209485136436,0.2152365656000791
smv-no-norm-k100,pyserini,56,0.345252515341801,0.2769973973057509,0.4393816129307201,0.3722651286775291,0.3491947041054185,0.2947765755946593,0.4712813104554176,0.4010815327081636,0.3316134999638621,0.320496994406109,0.2199189104412015
smv-norm-k100,pyserini,56,0.3125662779680636,0.2593071802699733,0.4041922735003092,0.3476902294011704,0.3281343408575551,0.2852315950150149,0.4389907835220335,0.3894299098381225,0.3998798500413458,0.3680121819757217,0.2519221628780184
wig-no-norm-k100,pyserini,56,0.3332371993086279,0.2691622789926914,0.427318725421404,0.3612562124362074,0.3413086913086913,0.2883530169520881,0.4544853088379875,0.394464096980959,0.2958463618861164,0.2805240409065059,0.2033592438610689
wig-no-norm-k1000,pyserini,56,0.3332371993086279,0.2691622789926914,0.427318725421404,0.3612562124362074,0.3413086913086913,0.2883530169520881,0.4544853088379875,0.394464096980959,0.2958463618861164,0.2805240409065059,0.2033592438610689
wig-norm-k100,pyserini,56,0.226797408940266,0.1822933952135632,0.3203158448694163,0.2731021444125435,0.3194305198769484,0.2611220899996607,0.4320242133858205,0.3636988061081382,0.2854700127505495,0.2812579382090427,0.1776174242426148
wig-norm-k1000,pyserini,56,0.226797408940266,0.1822933952135632,0.3203158448694163,0.2731021444125435,0.3194305198769484,0.2611220899996607,0.4320242133858205,0.3636988061081382,0.2854700127505495,0.2812579382090427,0.1776174242426148
original,pyserini,56,0.226797408940266,0.1822933952135632,0.3203158448694163,0.2731021444125435,0.3194305198769484,0.2611220899996607,0.4320242133858205,0.3636988061081382,0.2854700127505495,0.2812579382090427,0.1776174242426148
max_oracle_nugget_all,pyserini,56,0.4847284907552764,0.4151138716589568,0.5849743014921586,0.5106946070202095,0.329868271609343,0.2842436947941978,0.4484022921522921,0.392755154946594,0.4140741416603343,0.3835432215295542,0.2347008409369078
max_oracle_ndcg@5,pyserini,56,0.34350077006327,0.2918072812028749,0.4442924015468659,0.3952547121934285,0.3237673289012575,0.2620543513994973,0.4240488925756783,0.3623223101886442,0.6437257279646186,0.5411125718403625,0.2568491306291712
max_oracle_ndcg@10,pyserini,56,0.3457541714238142,0.2986870231929111,0.4456266327918113,0.3949095041801532,0.3157689780457637,0.2646271039853802,0.4236141586588015,0.370183801959012,0.6227585450534328,0.5698211848604606,0.2630657962822303
max_oracle_recall@100,pyserini,56,0.3625512136672851,0.2837340777618862,0.4589010815573315,0.3831452369547377,0.3312505203130203,0.2779711643122468,0.4428003172422815,0.3799911689617571,0.4934678542714535,0.4480820851434642,0.3330161887796786
max_oracle_strict_all_score,pyserini,56,0.4888094792112649,0.4234265236428273,0.5603944666444666,0.4896183186883512,0.3203313799295942,0.2739188757640217,0.4317303975786118,0.3763441849641954,0.3922227106117052,0.367584025540255,0.2350542123408192
max_oracle_strict_vital_score,pyserini,56,0.5357595281702424,0.3868650050960146,0.6017937295839081,0.4629034910108688,0.3203774400202972,0.2645165542293472,0.4412456714912072,0.3690319608321184,0.3741630258722269,0.3479821924910967,0.230900072661072
max_oracle_vital_score,pyserini,56,0.528095837694052,0.37723786898516,0.6361452907211836,0.4746629318209924,0.3293155505209077,0.2739750520807022,0.4444942706103419,0.3734176297267159,0.3923424129375426,0.3673526983087223,0.2443547143143282
max_oracle_genonly_nugget_all_score,pyserini,56,0.3154710864532292,0.264263648196366,0.4172236122012908,0.3571958747613878,0.4614681449502878,0.4138880105778049,0.5822875537161252,0.5256179474611584,0.3734578702573986,0.3535915403931335,0.2182484468353631
max_oracle_genonly_nugget_strict_all_score,pyserini,56,0.3049388607424322,0.2491049725466189,0.4149610434208649,0.3512198866097168,0.4789599041831184,0.4213211921837806,0.5727860928753785,0.504348460645453,0.3472084432812705,0.3345651708684433,0.2186841478502347
max_oracle_genonly_nugget_strict_vital_score,pyserini,56,0.2852464004249718,0.2151818361377185,0.3851495354843569,0.3178350951394543,0.5130443713032998,0.3802192918174508,0.5879150611293468,0.465223417992519,0.3498206888966546,0.3238598368303046,0.2092373744351137
max_oracle_genonly_nugget_vital_score,pyserini,56,0.3044488249845393,0.2398011169717549,0.4036154445752659,0.3382804731741182,0.5013054901447759,0.3793495018851608,0.6106254608486752,0.4847019012104289,0.3552659864246946,0.3287259497307185,0.2138635385748999
avg_genqr,pyserini,56,0.3218042572506858,0.2634750213881406,0.4221842492824635,0.3574204047647767,0.3242483409447695,0.26975927921776,0.4424407784675642,0.3784385021797947,0.2706244102738335,0.2553027844404003,0.1811273627295175
avg_genqr_ensemble,pyserini,56,0.326018981018981,0.2685284660422873,0.4269053169053168,0.3644197863018351,0.3364616881134737,0.2859206405387575,0.45182571149089,0.3913340364056308,0.3035401458709644,0.2857070748404067,0.2039692064587781
avg_mugi,pyserini,56,0.348658781694496,0.2752888853830085,0.4494469865452008,0.3708342138229356,0.3351105343069628,0.2655852733836756,0.4398129375584733,0.3643758092275065,0.4103911195453244,0.3870473165903044,0.2538008248127087
avg_qa_expand,pyserini,56,0.2865903986886129,0.2312264195642678,0.3829223405562691,0.3208097861583598,0.295451091567163,0.2455471087036213,0.4055313164018521,0.3460670026966743,0.3513226897815027,0.3301254375416284,0.2177096501546731
avg_query2doc,pyserini,56,0.3097690454386883,0.2509334062572397,0.4095464282741068,0.3404980702561971,0.2938641715427429,0.2381690559458969,0.40387512289298,0.3385829422095178,0.4187482398776461,0.3887888641452399,0.2352697858754812
avg_query2e,pyserini,56,0.2682572487036773,0.2154953690929199,0.3597169819268033,0.3034155112173687,0.3110040951112379,0.2531724774776798,0.4304558660585447,0.3618415115171943,0.3336765255200888,0.3152506737039485,0.1967945082288687
