qpp_metric,retrieval_method,nugget_strict_vital_score_mean,nugget_all_score_mean,genonly_strict_vital_score_mean,genonly_all_score_mean,retrieval_ndcg@5_mean,retrieval_recall@100_mean
pre_SCS-2,cohere,0.3730763532102817,0.4008944092988072,0.3413086913086913,0.3926378376310652,0.5172784662915823,0.3268776634369134
pre_avgICTF,cohere,0.3915754384504384,0.4211181897154641,0.3390851212279783,0.3950666584646986,0.5320541679282721,0.3320451220979838
bert_qpp_bi_encoder,cohere,0.3237456244152673,0.3657810231809568,0.3224736572950858,0.3502214177751827,0.5641045345868991,0.3459128631335568
bert_qpp_cross_encoder,cohere,0.3280990834562263,0.3662249327638674,0.320379248727463,0.3704566127073452,0.5364711601946861,0.3610590691854685
clarity-score-k10,cohere,0.3239749585731729,0.3799283972192115,0.3123612498612498,0.3706472647794242,0.5121389412556302,0.3614810604029941
clarity-score-k100,cohere,0.3217830532562675,0.3899393451099002,0.3318780921459493,0.3693362235168266,0.5253124627023592,0.3485934795417756
nqc-no-norm-k100,cohere,0.3207835319442462,0.3878935519812759,0.3275809755720469,0.370854718635706,0.5800776091792421,0.3809137254841558
nqc-norm-k100,cohere,0.3138036566607994,0.388480443935027,0.3247465084518656,0.3691956174952499,0.5834984816981209,0.3835385651308555
pre_null,cohere,,,,,,
pre_ql,cohere,0.3796228820782392,0.4043235497486935,0.3316721472971472,0.3927988497340416,0.5269886080686742,0.3482002946493451
qsd_post_predicted_ndcg,cohere,0.3432375907822336,0.3851665042627283,0.3208930950002379,0.3636911635743734,0.5684509480229224,0.3517951546346004
pre_qsdqpp_predicted_ndcg,cohere,0.3843252729413443,0.4053531321205331,0.3313776253508397,0.3803909650061103,0.5314123068175524,0.3404821841744709
pre_rv_bert,cohere,0.3276982689929118,0.3772668018946629,0.3194305198769484,0.3636988061081382,0.5568864293335423,0.3746588949840263
